"count","Sample_Barcode","Condition"
2901.97881456517,"TCGA-IP-7968","Donor_wo"
3848.07668225163,"TCGA-RD-A8NB","Donor_wo"
1018.97578333903,"TCGA-BR-8384","Donor_wo"
1985.63190671406,"TCGA-BR-8373","Donor_wo"
3331.61116339319,"TCGA-CG-5726","Donor_wo"
8497.18789200247,"TCGA-HU-A4GP","Donor_wo"
1555.30526801912,"TCGA-FP-8099","Donor_wo"
2463.40297844557,"TCGA-KB-A93G","Donor_wo"
2800.06882707323,"TCGA-BR-8081","Donor_wo"
1990.5746209047,"TCGA-BR-8381","Donor_wo"
3893.57386314403,"TCGA-BR-7722","Donor_wo"
1606.21152158288,"TCGA-CD-5800","Donor_wo"
3332.40392329399,"TCGA-BR-A4J5","Donor_wo"
1692.86342043153,"TCGA-CD-8524","Donor_wo"
2424.76114019222,"TCGA-CG-4469","Donor_wo"
4407.29699561555,"TCGA-RD-A8N5","Donor_wo"
6217.09755392764,"TCGA-CG-5734","Donor_wo"
1616.51905691613,"TCGA-IN-8462","Donor_wo"
2888.89890568435,"TCGA-BR-8284","Donor_wo"
4137.38897933138,"TCGA-F1-6875","Donor_wo"
5299.0308694961,"TCGA-R5-A805","Donor_wo"
2842.28280241962,"TCGA-BR-8382","Donor_wo"
1875.62669134624,"TCGA-VQ-A94O","Donor_wo"
1410.91044558006,"TCGA-CD-8535","Donor_wo"
4886.44138122071,"TCGA-HF-A5NB","Donor_wo"
2116.68082159512,"TCGA-BR-7704","Donor_wo"
1799.93168383328,"TCGA-BR-6564","Donor_wo"
778.281902603097,"TCGA-RD-A8N2","Donor_wo"
4654.36373538635,"TCGA-CG-4301","Donor_wo"
2141.85675692932,"TCGA-CG-5725","Donor_wo"
2083.02280623609,"TCGA-VQ-AA6K","Donor_wo"
4407.0014922976,"TCGA-CG-4438","Donor_wo"
3053.82053629916,"TCGA-BR-8296","Donor_wo"
908.916511414322,"TCGA-RD-A8N6","Donor_wo"
4126.91058766506,"TCGA-VQ-AA6J","Donor_wo"
1522.14334684833,"TCGA-BR-A44T","Donor_wo"
2173.41551422214,"TCGA-BR-7959","Donor_wo"
711.576526954361,"TCGA-BR-8371","Donor_wo"
1208.22271719197,"TCGA-VQ-A8DV","Donor_wo"
1543.33926368532,"TCGA-IN-A6RR","Donor_wo"
